type,name,label,label::Arabic,hint,hint::Arabic,appearance,required,calculation,constraint,constraint_message,constraint_message::Arabic,relevant,default,repeat_count,choice_filter,
integer,Q1_6_2_Males_60_plus,Males 60+:,???? 60+:,,,numbers,yes,,.<=${Q1_4_Males_60_plus},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_60_plus}>0,0,,,
integer,Q1_6_2_Females_60_plus,Females 60+:,???? 60+:,,,numbers,yes,,.<=${Q1_4_Females_60_plus},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_60_plus}>0,0,,,
end group,GQ1_6_2,,,,,,,,,,,,,,,
calculate,calc1_6_2,clac1.6.2,,,,,,${Q1_6_2_Males_0_To_3_years} + ${Q1_6_2_Females_0_To_3_years} + ${Q1_6_2_Males_4_To_5_years} + ${Q1_6_2_Females_4_To_5_years} + ${Q1_6_2_Males_6_To_10_years} + ${Q1_6_2_Females_6_To_10_years} + ${Q1_6_2_Males_11_To_17_years} + ${Q1_6_2_Females_11_To_17_years} + ${Q1_6_2_Males_18_To_59_years} + ${Q1_6_2_Females_18_To_59_years} + ${Q1_6_2_Males_60_plus} + ${Q1_6_2_Females_60_plus},,,,"not(selected(${Q1_6_In_your_household_are_there_any_members_that_experience_any_of_the_following_physical_or_cognitive_difficulties},'No_HH_members_experienced_difficulties'))",,,,
note,Check1_6_11,The total members in question 1.6.2 should be less than or equal 1.6.1,????? ??????? ?? ?????? 1.6.2 ??? ?? ???? ??? ?? ?? ?????1.6.1 ,,,,yes,,,,,(${calc1_6_2}>${Q1_6_1_2_A_lot_of_difficulty_carrying_out_daily_activities_and_needs_quite_a_bit_of_assistance_and_attention_for_example_3_to_6_hours_per_day}) or (${calc1_6_2}<${Q1_6_1_2_A_lot_of_difficulty_carrying_out_daily_activities_and_needs_quite_a_bit_of_assistance_and_attention_for_example_3_to_6_hours_per_day}),,,,
note,Check1_6_2,The total members in question 1.6.2 should be less than or equal 1.3,????? ??????? ?? ?????? 1.6.2 ??? ?? ???? ??? ?? ?? ????? 1.3,,,,yes,,,,,(${calc1_6_2}>${Q1_3_How_many_individuals_live_in_this_household_including_yourself}) or (${calc1_6_2}<${Q1_3_How_many_individuals_live_in_this_household_including_yourself}),,,,
begin group,GQ1_6_3,,,,,field-list,,,,,,${Q1_6_1_3_Can_not_carry_out_daily_activities_independently_and_needs_permanent_assistance_and_attention}>0,,,,
note,NQ1_6_3_Of_those_household_members_who_require_between_permanent_assistance_how_many_fall_into_the_following_categories,"1.6.3 Of those household members who require between permanent assistance, how many fall into the following categories:","1.6.3 ??????? ?????? ?????? ????? ??????? ??? ???????? ???????? ?? ???? ????? ??? ?????? ????????:",(Numbers),(????????),,,,,,,,,,,
integer,Q1_6_3_Males_0_To_3_years,Males 0-3:,???? 0-3:,,,numbers,yes,,.<=${Q1_4_Males_0_To_3_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_0_To_3_years}>0,0,,,
integer,Q1_6_3_Females_0_To_3_years,Females 0-3:,???? 0-3:,,,numbers,yes,,.<=${Q1_4_Females_0_To_3_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_0_To_3_years}>0,0,,,
integer,Q1_6_3_Males_4_To_5_years,Males 4-5:,???? 4-5:,,,numbers,yes,,.<=${Q1_4_Males_4_To_5_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_4_To_5_years}>0,0,,,
integer,Q1_6_3_Females_4_To_5_years,Females 4-5:,???? 4-5:,,,numbers,yes,,.<=${Q1_4_Females_4_To_5_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_4_To_5_years}>0,0,,,
integer,Q1_6_3_Males_6_To_10_years,Males 6-10:,???? 6-10:,,,numbers,yes,,.<=${Q1_4_Males_6_To_10_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_6_To_10_years}>0,0,,,
integer,Q1_6_3_Females_6_To_10_years,Females 6-10:,???? 6-10:,,,numbers,yes,,.<=${Q1_4_Females_6_To_10_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_6_To_10_years}>0,0,,,
integer,Q1_6_3_Males_11_To_17_years,Males 11-17:,???? 11-17:,,,numbers,yes,,.<=${Q1_4_Males_11_To_17_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_11_To_17_years}>0,0,,,
integer,Q1_6_3_Females_11_To_17_years,Females 11-17:,???? 11-17:,,,numbers,yes,,.<=${Q1_4_Females_11_To_17_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_11_To_17_years}>0,0,,,
integer,Q1_6_3_Males_18_To_59_years,Males 18-59:,???? 18-59:,,,numbers,yes,,.<=${Q1_4_Males_18_To_59_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_18_To_59_years}>0,0,,,
integer,Q1_6_3_Females_18_To_59_years,Females 18-59:,???? 18-59:,,,numbers,yes,,.<=${Q1_4_Females_18_To_59_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_18_To_59_years}>0,0,,,
integer,Q1_6_3_Males_60_plus,Males 60+:,???? 60+:,,,numbers,yes,,.<=${Q1_4_Males_60_plus},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_60_plus}>0,0,,,
integer,Q1_6_3_Females_60_plus,Females 60+:,???? 60+:,,,numbers,yes,,.<=${Q1_4_Females_60_plus},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_60_plus}>0,0,,,
end group,GQ1_6_3,,,,,,,,,,,,,,,
calculate,calc1_6_3,clac1.6.3,,,,,,${Q1_6_3_Males_0_To_3_years} + ${Q1_6_3_Females_0_To_3_years} + ${Q1_6_3_Males_4_To_5_years} + ${Q1_6_3_Females_4_To_5_years} + ${Q1_6_3_Males_6_To_10_years} + ${Q1_6_3_Females_6_To_10_years} + ${Q1_6_3_Males_11_To_17_years} + ${Q1_6_3_Females_11_To_17_years} + ${Q1_6_3_Males_18_To_59_years} + ${Q1_6_3_Females_18_To_59_years} + ${Q1_6_3_Males_60_plus} + ${Q1_6_3_Females_60_plus},,,,"not(selected(${Q1_6_In_your_household_are_there_any_members_that_experience_any_of_the_following_physical_or_cognitive_difficulties},'No_HH_members_experienced_difficulties'))",,,,
note,Check1_6_31,The total members in question 1.6.3 should be less than or equal 1.6.1,????? ??????? ?? ?????? 1.6.3 ??? ?? ???? ??? ?? ?? ????? 1.6.1,,,,yes,,,,,(${calc1_6_3}>${Q1_6_1_3_Can_not_carry_out_daily_activities_independently_and_needs_permanent_assistance_and_attention}) or (${calc1_6_3}<${Q1_6_1_3_Can_not_carry_out_daily_activities_independently_and_needs_permanent_assistance_and_attention}),,,,
note,Check1_6_3,The total members in question 1.6.3 should be less than or equal 1.3,????? ??????? ?? ?????? 1.6.3 ??? ?? ???? ??? ?? ?? ????? 1.3,,,,yes,,,,,(${calc1_6_3}>${Q1_3_How_many_individuals_live_in_this_household_including_yourself}) or (${calc1_6_3}<${Q1_3_How_many_individuals_live_in_this_household_including_yourself}),,,,
select_one yes_no,Q1_7_Is_the_interviewee_the_head_of_household,1.7 Is the interviewee the head of household?,1.7 ?? ????? ???? ??? ??????? ?? ?? ???????,(Select one),(???? ?????),,yes,,,,,,,,,
select_one q0108R,Q1_8_What_is_the_relationship_to_the_head_of_household,1.8 What is the relationship to the head of household?,1.8 ???? ??? ??????? ?? ?? ???????,(Select one),(???? ?????),,yes,,,,,"selected(${Q1_7_Is_the_interviewee_the_head_of_household},'No')",,,,
select_one gender,Q1_9_What_gender_is_the_interviewee,1.9 What gender is the interviewee?,1.9 ???? ??? ????? ???? ??? ????????,(Select one),(???? ?????),,yes,,,,,,,,,
select_one gender,Q1_10_What_gender_is_the_head_of_household,1.10 What gender is the head of household?,1.10 ???? ??? ?? ???????,(Select one),(???? ?????),,yes,,,,,"selected(${Q1_7_Is_the_interviewee_the_head_of_household},'No')",,,,
integer,Q1_11_What_is_the_age_of_the_head_of_household,1.11 What is the age of the head of household?,1.11 ???? ??? ?? ???????,(Numbers),(????????),numbers,yes,,,,,"selected(${Q1_7_Is_the_interviewee_the_head_of_household},'No')",,,,
select_one MS,Q1_12_What_is_the_marital_status_of_the_head_of_household,1.12 What is the marital status of the head of household?,1.12 ???? ????? ??????? ??? ???????,(Select one),(???? ?????),,yes,,,,,,,,,
end group,endend,,,,,,,,,,,,,,,
end group,G1_2,,,,,,,,,,,,,,,
end group,G1_Household_Profile,,,,,,,,,,,,,,,
begin group,endend2,,,,,,,,,,,${calcendend}>0,,,,
begin group,G2_Shelter_and_NFIs,2. Shelter and NFIs,2. ?????? ??????? ??? ????????,,,,,,,,,"selected(${Q1_2_Are_you_willing_to_respond_to_this_household_visit},'Yes')",,,,
select_one q0201R,Q2_1_What_type_of_shelter_does_your_household_live_in,2.1 What type of shelter does your household live in?,2.1 ???? ??? ?????? ???? ???? ??? ??????,(Select one),(???? ?????),,yes,,,,,,,,,
text,Q2_1_Other,2.1 Other (specify),2.1 ???? ( ???? ??????? ):,(please specify),(?????? ???????),,yes,,,,,"selected(${Q2_1_What_type_of_shelter_does_your_household_live_in},'Other')",,,,
select_multiple q0202R,Q2_2_What_are_the_most_important_shelter_related_concerns_you_have_faced_in_the_last_30_days,2.2 What are the most important shelter-related concerns you have faced in the last 30 days?,2.2 ???? ??? ??????? ???????? ??????? ???? ??????? ???? ??? 30 ????? ????????,(select all that apply)(Read out all options),(???? ???? ?? ?????)(???? ???? ????????),,yes,,"not(selected(.,'No_shelter_concerns') and count-selected(.)>1)","You can not select ""No_shelter_concerns "" with another option","?????? ?????? ""?????? ????? ???? ?????? "" ?? ???? ???? ",,,,,
text,Q2_2_Other,2.2 Other (specify),2.1 ???? ( ???? ??????? ):,(please specify),(?????? ???????),,yes,,,,,"selected(${Q2_2_What_are_the_most_important_shelter_related_concerns_you_have_faced_in_the_last_30_days},'Other')",,,,
end group,G2_Shelter_and_NFIs,,,,,,,,,,,,,,,
begin group,G3_CCCM,3. CCCM,,,,,,,,,,"selected(${Q1_2_Are_you_willing_to_respond_to_this_household_visit},'Yes')",,,,
select_one q0301R,Q3_1_Are_the_main_roads_in_the_site_paved_or_gravelled,3.1 Are the main roads in the site paved or gravelled?,3.1 ?? ????? ???????? ?? ?????? ????? ?? ?????? ???????,(Select one),(???? ?????),,yes,,,,,"not(selected(${Q2_1_What_type_of_shelter_does_your_household_live_in},'Collective_centre_building_not_intended_for_housing_schools_mosques_etc'))",,,,
select_one q0301R,Q3_2_Are_the_paths_leading_to_your_shelter_paved_or_gravelled,3.2 Are the paths leading to your shelter paved or gravelled?,3.2 ?? ????? ??????? ??? ?????? ????? ?? ????? ?? ?????? ???????,(Select one),(???? ?????),,yes,,,,,"not(selected(${Q2_1_What_type_of_shelter_does_your_household_live_in},'Collective_centre_building_not_intended_for_housing_schools_mosques_etc'))",,,,
select_one yes_no,Q3_3_Does_your_shelter_have_gravelling_underneath_it,3.3 Does your shelter have gravelling underneath it?,3.3 ?? ???? ??? ??? ?????? ????? ???,(Select one),(???? ?????),,yes,,,,,"not(selected(${Q2_1_What_type_of_shelter_does_your_household_live_in},'Collective_centre_building_not_intended_for_housing_schools_mosques_etc'))",,,,
select_one yes_no,Q3_4_Do_you_have_a_trench_to_drain_water_from_your_shelter,3.4 Do you have a trench to drain water from your shelter?,3.4 ?? ???? ???? ?????? ?????? ?? ?????? ????? ???,(Select one),(???? ?????),,yes,,,,,"not(selected(${Q2_1_What_type_of_shelter_does_your_household_live_in},'Collective_centre_building_not_intended_for_housing_schools_mosques_etc'))",,,,
select_one yes_no,Q3_5_Are_there_drainage_channels_between_your_shelter_and_other_shelters,3.5 Are there drainage channels between your shelter and other shelters?,3.5 ?? ???? ????? ??? ??? ??? ?????? ????? ?? ????? ????????,(Select one),(???? ?????),,yes,,,,,"not(selected(${Q2_1_What_type_of_shelter_does_your_household_live_in},'Collective_centre_building_not_intended_for_housing_schools_mosques_etc'))",,,,
select_one yes_no,Q3_6_Do_you_have_access_to_a_kitchen,3.6 Do you have access to a kitchen?,3.6 ?? ???? ???? ??? ???????,(Select one),(???? ?????),,yes,,,,,,,,,
end group,G3_CCCM,,,,,,,,,,,,,,,
begin group,G4_Protection,4. Protection,4. ???????,,,,,,,,,"selected(${Q1_2_Are_you_willing_to_respond_to_this_household_visit},'Yes')",,,,
calculate,calc4_1,calc4.1,,,,,,${Q1_4_Males_0_To_3_years} + ${Q1_4_Females_0_To_3_years} + ${Q1_4_Males_4_To_5_years} + ${Q1_4_Females_4_To_5_years} + ${Q1_4_Males_6_To_10_years} + ${Q1_4_Females_6_To_10_years} + ${Q1_4_Males_11_To_17_years} + ${Q1_4_Females_11_To_17_years},,,,,,,,
select_one yes_no_thnch,Q4_1_Have_any_children_in_your_household_attended_a_child_friendly_space_a_space_set_up_specifically_for_children_that_is_not_a_school_in_the_site_in_the_last_30_days,4.1 Have any children in your household attended a child-friendly space (a space set up specifically for children that is not a school) in the site in the last 30 days?,4.1 ?? ??? ????? ?? ????? ??????? ??????? ????? (????? ?? ??????? ?????? ??????? ???? ?????) ?? ?????? ???? ??? 30 ????? ????????,(Select one),(???? ?????),,yes,,,,,${calc4_1}>0,,,,
select_one yes_no_dt,Q4_1_1_Does_the_child_friendly_space_have_functioning_toilets_for_men_boys,4.1.1 Does the child-friendly space have functioning toilets for men/boys?,4.1.1 ?? ???? ?? ??????? ??????? ????? ?????? ????? ??????/ ????????,(Select one),(???? ?????),,yes,,,,,"selected(${Q4_1_Have_any_children_in_your_household_attended_a_child_friendly_space_a_space_set_up_specifically_for_children_that_is_not_a_school_in_the_site_in_the_last_30_days},'Yes')",,,,
select_one yes_no_dt,Q4_1_2_Does_the_child_friendly_space_have_functioning_toilets_for_women_girls,4.1.2 Does the child-friendly space have functioning toilets for women/girls?,4.1.2 ?? ???? ?? ??????? ??????? ????? ?????? ????? ??????/ ????????,(Select one),(???? ?????),,yes,,,,,"selected(${Q4_1_Have_any_children_in_your_household_attended_a_child_friendly_space_a_space_set_up_specifically_for_children_that_is_not_a_school_in_the_site_in_the_last_30_days},'Yes')",,,,
select_one yes_no_dt,Q4_1_3_Does_the_child_friendly_space_have_functioning_handwashing_facilities,4.1.3 Does the child-friendly space have functioning handwashing facilities?,4.1.3 ?? ???? ?? ??????? ??????? ????? ????? ????? ???? ???????,(Select one),(???? ?????),,yes,,,,,"selected(${Q4_1_Have_any_children_in_your_household_attended_a_child_friendly_space_a_space_set_up_specifically_for_children_that_is_not_a_school_in_the_site_in_the_last_30_days},'Yes')",,,,
select_one yes_no_thssit,Q4_2_Have_any_children_in_your_household_attended_school_in_the_site_in_the_last_30_days,4.2 Have any children in your household attended school in the site in the last 30 days?,4.2 ?? ????? ?? ????? ?? ????? ???????? ?? ?????? ???? ??? 30 ????? ????????,(Select one),(???? ?????),,yes,,,,,${calc4_1}>0,,,,
select_one yes_no_dt,Q4_2_1_Does_the_school_have_functioning_toilets_for_men_boys,4.2.1 Does the school have functioning toilets for men/boys?,4.2.1 ?? ???? ?? ??????? ?????? ????? ??????/ ????????,(Select one),(???? ?????),,yes,,,,,"selected(${Q4_2_Have_any_children_in_your_household_attended_school_in_the_site_in_the_last_30_days},'Yes')",,,,
select_one yes_no_dt,Q4_2_2_Does_the_school_have_functioning_toilets_for_women_girls,4.2.2 Does the school have functioning toilets for women/girls?,4.2.2 ?? ???? ?? ??????? ?????? ????? ??????/ ????????,(Select one),(???? ?????),,yes,,,,,"selected(${Q4_2_Have_any_children_in_your_household_attended_school_in_the_site_in_the_last_30_days},'Yes')",,,,
select_one yes_no_dt,Q4_2_3_Does_the_school_have_functioning_handwashing_facilities,4.2.3 Does the school have functioning handwashing facilities?,4.2.3 ?? ???? ?? ??????? ????? ????? ???? ???????,(Select one),(???? ?????),,yes,,,,,"selected(${Q4_2_Have_any_children_in_your_household_attended_school_in_the_site_in_the_last_30_days},'Yes')",,,,
calculate,calc4_3,calc4.3,,,,,, ${Q1_4_Females_0_To_3_years} + ${Q1_4_Females_4_To_5_years} + ${Q1_4_Females_6_To_10_years} + ${Q1_4_Females_11_To_17_years} + ${Q1_4_Females_18_To_59_years} + ${Q1_4_Females_60_plus},,,,,,,,
select_one yes_no_wom,Q4_3_Have_any_women_or_girls_in_your_household_attended_a_designated_space_for_women_and_girls_in_the_site_in_the_last_30_days,4.3 Have any women or girls in your household attended a designated space for women and girls in the site in the last 30 days?,4.3 ?? ???? ?????? ?? ??????? ?? ????? ????? ????? ?????? ???????? ?? ?????? ???? ??? 30 ????? ????????,(Select one),(???? ?????),,yes,,,,,${calc4_3}>0,,,,
select_one yes_no_dt,Q4_3_1_Does_the_womens_space_have_functioning_toilets,4.3.1 Does the women’s space have functioning toilets?,4.3.1 ?? ???? ?? ??????? ??????? ?????? ?????? ??????,(Select one),(???? ?????),,yes,,,,,"selected(${Q4_3_Have_any_women_or_girls_in_your_household_attended_a_designated_space_for_women_and_girls_in_the_site_in_the_last_30_days},'Yes')",,,,
select_one yes_no_dt,Q4_3_2_Does_the_womens_space_have_functioning_handwashing_facilities,4.3.2 Does the women’s space have functioning handwashing facilities?,4.3.2 ?? ???? ?? ??????? ??????? ?????? ????? ????? ???? ???????,(Select one),(???? ?????),,yes,,,,,"selected(${Q4_3_Have_any_women_or_girls_in_your_household_attended_a_designated_space_for_women_and_girls_in_the_site_in_the_last_30_days},'Yes')",,,,
select_one yes_no_thshealth,Q4_4_Have_any_household_members_visited_a_health_centre_within_the_site_in_the_last_30_days,4.4 Have any household members visited a health centre within the site in the last 30 days?,4.4 ?? ??? ?? ??? ?? ????? ?????? ?????? ???? ??? ???? ?????? ???? ??? 30 ????? ????????,(Select one),(???? ?????),,yes,,,,,${calc4_1}>0,,,,
select_one yes_no_dt,Q4_4_1_Does_the_health_centre_have_functioning_toilets_for_men_boys,4.4.1 Does the health centre have functioning toilets for men/boys?,4.4.1 ?? ???? ?? ?????? ????? ?????? ????? ??????/ ????????,(Select one),(???? ?????),,yes,,,,,"selected(${Q4_4_Have_any_household_members_visited_a_health_centre_within_the_site_in_the_last_30_days},'Yes')",,,,
select_one yes_no_dt,Q4_4_2_Does_the_health_centre_have_functioning_toilets_for_women_girls,4.4.2 Does the health centre have functioning toilets for women/girls?,4.4.2 ?? ???? ?? ?????? ????? ?????? ????? ??????/ ????????,(Select one),(???? ?????),,yes,,,,,"selected(${Q4_4_Have_any_household_members_visited_a_health_centre_within_the_site_in_the_last_30_days},'Yes')",,,,
select_one yes_no_dt,Q4_4_3_Does_the_health_centre_have_functioning_handwashing_facilities,4.4.3 Does the health centre have functioning handwashing facilities?,4.4.3 ?? ???? ?? ?????? ????? ????? ????? ???? ???????,(Select one),(???? ?????),,yes,,,,,"selected(${Q4_4_Have_any_household_members_visited_a_health_centre_within_the_site_in_the_last_30_days},'Yes')",,,,
end group,G4_Protection,,,,,,,,,,,,,,,
begin group,G5_WASH,5. WASH,5. ?????? ? ????? ?????,,,,,,,,,"selected(${Q1_2_Are_you_willing_to_respond_to_this_household_visit},'Yes')",,,,
select_one q0501R,Q5_1_What_water_source_did_your_household_use_the_most_in_the_last_30_days,5.1What water source did your household use the most in the last 30 days? ,5.1 ?? ?? ???? ?????? ???? ??????? ????? ???? ???? ???? ??? 30 ????? ????????,(Select one),(???? ?????),,yes,,,,,,,,,
text,Q5_1_Other,5.1 Other (specify),5.1 ???? ( ???? ??????? ):,(please specify),(?????? ???????),,yes,,,,,"selected(${Q5_1_What_water_source_did_your_household_use_the_most_in_the_last_30_days},'Other')",,,,
select_one q0502R,Q5_2_How_far_do_household_members_need_to_travel_to_collect_water,5.2 How far do household members need to travel to collect water?,5.2 ?? ??????? ???? ???????? ????? ????? ???? ???????,(Select one),(???? ?????),,yes,,,,,"not(selected(${Q5_1_What_water_source_did_your_household_use_the_most_in_the_last_30_days},'Network_inside_the_house_or_shelter_unit_or_neighbours_house') or selected(${Q5_1_What_water_source_did_your_household_use_the_most_in_the_last_30_days},'Water_trucking'))",,,,
select_one q0503R,Q5_3_How_long_did_it_take_household_members_to_go_to_your_main_water_source_fetch_water_and_return_including_queuing_at_the_water_source,"5.3 How long did it take household members to go to your main water source, fetch water, and return (including queuing at the water source)?","5.3 ?? ?? ????? ?????? ????? ?????? ?? ?????? ??? ???? ?????? ??????? ????? ??? ???? ??????? ??????? (??? ?? ??? ??????? ??? ???? ??????)?",(Select one),(???? ?????),,yes,,,,,"not(selected(${Q5_1_What_water_source_did_your_household_use_the_most_in_the_last_30_days},'Network_inside_the_house_or_shelter_unit_or_neighbours_house') or selected(${Q5_1_What_water_source_did_your_household_use_the_most_in_the_last_30_days},'Water_trucking'))",,,,
select_multiple q0504R,Q5_4_Which_household_members_are_responsible_for_collecting_water,5.4 Which household members are responsible for collecting water?,5.4 ?? ?? ????? ?????? ????? ?? ??? ???????,(select all that apply)(Read out all options),(???? ???? ?? ?????)(???? ???? ????????),,yes,,,,,"not(selected(${Q5_1_What_water_source_did_your_household_use_the_most_in_the_last_30_days},'Network_inside_the_house_or_shelter_unit_or_neighbours_house') or selected(${Q5_1_What_water_source_did_your_household_use_the_most_in_the_last_30_days},'Water_trucking'))",,,,
select_one yes_no,Q5_5_Did_you_have_to_use_other_sources_of_water_in_the_last_30_days,5.5 Did you have to use other sources of water in the last 30 days?,5.5 ?? ??? ???? ??????? ????? ???? ?????? ???? ??? 30 ????? ????????,(Select one),(???? ?????),,yes,,,,,,,,,
select_multiple q0501R,Q5_5_1_What_water_sources_did_you_use,5.5.1 What water sources did you use?,"5.5.1 ??? ???? ??????? ???? ?? ?? ????? ?????? ???? ??????????",(select all that apply)(Read out all options),(???? ???? ?? ?????)(???? ???? ????????),,yes,,"not(selected(.,'Dont_Know') and count-selected(.)>1)","You can not select  "" Don't_Know "" with another option","?????? ?????? ""?? ???? "" ?? ???? ???? ","selected(${Q5_5_Did_you_have_to_use_other_sources_of_water_in_the_last_30_days},'Yes')",,,,
text,Q5_5_1_Other,5.5.1 Other (specify),5.5.1 ???? ( ???? ??????? ):,(please specify),(?????? ???????),,yes,,,,,"selected(${Q5_5_1_What_water_sources_did_you_use},'Other')",,,,
begin group,GQ5_6,,,,,field-list,,,,,,,,,,
note,NQ5_6_Please_estimate_the_percentage_for_each_water_source_used_in_the_last_30_days_including_main_water_source,5.6 Please estimate the % for each water source used in the last 30 days (including main water source):,5.6 ???? ????? ?????? ??????? ??? ???? ???? ?? ???????? ???? ??? 30 ????? ???????? (??? ?? ??? ???? ?????? ???????)?,(Numbers),(????????),,,,,,,,,,,
integer,Q5_6_Network_inside_the_house_or_shelter_unit_or_neighbours_house,Network inside the house or shelter unit (or neighbour's house):,???? ???? ?????? ?? ?????? (?? ???? ???????),,,numbers,yes,,.<=100,Should be between 0 and 100%,??????? ??? ?? ???? ??? 0 ? 100%,"selected(${Q5_5_1_What_water_sources_did_you_use},'Network_inside_the_house_or_shelter_unit_or_neighbours_house') or selected(${Q5_1_What_water_source_did_your_household_use_the_most_in_the_last_30_days},'Network_inside_the_house_or_shelter_unit_or_neighbours_house')",0,,,
integer,Q5_6_Water_trucking,Water trucking:,??? ?????? ?????????,,,numbers,yes,,.<=100,Should be between 0 and 100%,??????? ??? ?? ???? ??? 0 ? 100%,"selected(${Q5_5_1_What_water_sources_did_you_use},'Water_trucking') or selected(${Q5_1_What_water_source_did_your_household_use_the_most_in_the_last_30_days},'Water_trucking')",0,,,
integer,Q5_6_Closed_well,Closed well:,??? ????,,,numbers,yes,,.<=100,Should be between 0 and 100%,??????? ??? ?? ???? ??? 0 ? 100%,"selected(${Q5_5_1_What_water_sources_did_you_use},'Closed_well') or selected(${Q5_1_What_water_source_did_your_household_use_the_most_in_the_last_30_days},'Closed_well')",0,,,
integer,Q5_6_Open_well,Open well:,??? ?????,,,numbers,yes,,.<=100,Should be between 0 and 100%,??????? ??? ?? ???? ??? 0 ? 100%,"selected(${Q5_5_1_What_water_sources_did_you_use},'Open_well') or selected(${Q5_1_What_water_source_did_your_household_use_the_most_in_the_last_30_days},'Open_well')",0,,,
integer,Q5_6_Springs,Springs:,????????,,,numbers,yes,,.<=100,Should be between 0 and 100%,??????? ??? ?? ???? ??? 0 ? 100%,"selected(${Q5_5_1_What_water_sources_did_you_use},'Springs') or selected(${Q5_1_What_water_source_did_your_household_use_the_most_in_the_last_30_days},'Springs')",0,,,
integer,Q5_6_Surface_water_lake_pond_dam_river,"Surface water (lake, pond, dam, river):","???? ????? (?????? ????? ??? ???)",,,numbers,yes,,.<=100,Should be between 0 and 100%,??????? ??? ?? ???? ??? 0 ? 100%,"selected(${Q5_5_1_What_water_sources_did_you_use},'Surface_water_lake_pond_dam_river') or selected(${Q5_1_What_water_source_did_your_household_use_the_most_in_the_last_30_days},'Surface_water_lake_pond_dam_river')",0,,,
integer,Q5_6_Bottled_water,Bottled water:,???? ?????,,,numbers,yes,,.<=100,Should be between 0 and 100%,??????? ??? ?? ???? ??? 0 ? 100%,"selected(${Q5_5_1_What_water_sources_did_you_use},'Bottled_water') or selected(${Q5_1_What_water_source_did_your_household_use_the_most_in_the_last_30_days},'Bottled_water')",0,,,
integer,Q5_6_Handpumps_boreholes,Handpumps/boreholes:,???? ?????/ ????,,,numbers,yes,,.<=100,Should be between 0 and 100%,??????? ??? ?? ???? ??? 0 ? 100%,"selected(${Q5_5_1_What_water_sources_did_you_use},'Handpumps_boreholes') or selected(${Q5_1_What_water_source_did_your_household_use_the_most_in_the_last_30_days},'Handpumps_boreholes')",0,,,
integer,Q5_6_Other,${Q5_5_1_Other} :,${Q5_5_1_Other} :,,,numbers,yes,,.<=100,Should be between 0 and 100%,??????? ??? ?? ???? ??? 0 ? 100%,"selected(${Q5_5_1_What_water_sources_did_you_use},'Other') or selected(${Q5_1_What_water_source_did_your_household_use_the_most_in_the_last_30_days},'Other')",0,,,
end group,GQ5_6,,,,,,,,,,,,,,,
calculate,calc5_6,clac5.6,,,,,,${Q5_6_Network_inside_the_house_or_shelter_unit_or_neighbours_house} + ${Q5_6_Water_trucking} + ${Q5_6_Closed_well} + ${Q5_6_Open_well} + ${Q5_6_Springs} + ${Q5_6_Surface_water_lake_pond_dam_river} + ${Q5_6_Bottled_water} + ${Q5_6_Handpumps_boreholes} + ${Q5_6_Other},,,,"not(selected(${Q1_6_In_your_household_are_there_any_members_that_experience_any_of_the_following_physical_or_cognitive_difficulties},'No_HH_members_experienced_difficulties'))",,,,
note,Check5_6,The total members in question 1.6.1 should be less than or equal 1.3,????? ??????? ?? ?????? 1.4 ??? ?? ???? ??? ?? ?? ????? 1.3,,,,yes,,,,,(${calc5_6}>100),,,,
select_one yes_no,Q5_7_Do_you_use_water_from_these_sources_for_agricultural_purposes_farming_animal_watering,"5.7 Do you use water from these sources for agricultural purposes (farming, animal watering)?","5.7 ?? ?????? ?????? ?? ??? ??????? ??????? ???????? (???????? ??? ?????????)?",(Select one),(???? ?????),,yes,,,,,,,,,
